설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
한빛아파트 2단지 문화센터,센터,부산광역시,기장군,지역문화시설,SKT,Public WiFi,16-Oct,부산광역시 기장군 장안읍 천산로 28,부산광역시 기장군 장안읍 길천리 310-3,부산광역시,051-888-4604,35.335499,129.283327,2018-08-24
농협 기장점,민원실,부산광역시,기장군,기타,SKT,Public WiFi,16-Oct,부산광역시 기장군 기장읍 차성로288번길 27,부산광역시 기장군 기장읍 대라리 73-7,부산광역시,051-888-4604,35.243254,129.215045,2018-08-24
청소년수련관,수련관,부산광역시,기장군,지역문화시설,KT,Public WiFi,15-Oct,부산광역시 기장군 정관읍 달음산길106,부산광역시 기장군 정관읍 달산리 417-22,부산광역시,051-888-4604,35.3112199,129.1999357,2018-08-24
철마면사무소,민원실,부산광역시,기장군,관공서,KT,Public WiFi,12-Oct,부산광역시 기장군 철마면 철마로 485,부산광역시 기장군 철마면 와여리 546,부산광역시,051-888-4604,35.2749851,129.149785,2018-08-24
철마면복지회관,회관,부산광역시,기장군,서민·복지시설,KT,Public WiFi,12-Oct,부산광역시 기장군 철마면 개좌로 822,부산광역시 기장군 철마면 장전리 279-1,부산광역시,051-888-4604,35.2735973,129.1501499,2018-08-24
정관주민자치회관,회관,부산광역시,기장군,서민·복지시설,KT,Public WiFi,12-Oct,부산광역시 기장군 정관면 정관로 495,부산광역시 기장군 정관면 용수리 1328-3,부산광역시,051-888-4604,35.3259235,129.1707135,2018-08-24
정관보건지소,민원실,부산광역시,기장군,서민·복지시설,KT,Public WiFi,14-Oct,부산광역시 기장군 정관면 용수로 4,부산광역시 기장군 정관읍 용수리 141,부산광역시,051-888-4604,35.326016,129.179734,2018-08-24
정관면사무소,민원실,부산광역시,기장군,관공서,KT,Public WiFi,14-Oct,부산광역시 기장군 정관면 용수로 4,부산광역시 기장군 정관읍 용수리 141,부산광역시,051-888-4604,35.325548,129.180289,2018-08-24
추리문학관,추리문학관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,13-Oct,부산광역시 해운대구 달맞이길117번나길 111,부산광역시 해운대구 중2동 1483-6,부산광역시,051-888-4604,35.1616978,129.1832955,2018-08-24
좌1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 양운로 91,부산광역시 해운대구 좌동 1458-2,부산광역시,051-888-4604,35.1709067,129.174256,2018-08-24
재송어린이도서관,도서관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로 76번길 35-1,부산광역시 해운대구 재송동 948-23,부산광역시,051-888-4604,35.1896156,129.1184815,2018-08-24
중동거리,중동거리,부산광역시,해운대구,기타,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 우2동 1090-2,부산광역시 해운대구 우2동 1090-2,부산광역시,051-888-4604,35.168963,129.138526,2018-08-24
중2동 주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 좌동순환로433번길 34,부산광역시 해운대구 중동 1519-3,부산광역시,051-888-4604,35.1624026,129.1799244,2018-08-24
중1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 중동1로 37번길 20,부산광역시 해운대구 중동 1394-68,부산광역시,051-888-4604,35.1625222,129.1642093,2018-08-24
좌동재래시장,시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 좌동로 91번길 20,부산광역시 해운대구 좌동 892,부산광역시,051-888-4604,35.1730816,129.1744706,2018-08-24
좌4동주민센터,민원실,부산광역시,해운대구,관공서,KT,Public WiFi,15-Oct,부산광역시 해운대구 좌동순환로 183,부산광역시 해운대구 좌동 1407-6,부산광역시,051-888-4604,35.1778997,129.176251,2018-08-24
좌3동주민센터,민원실,부산광역시,해운대구,관공서,KT,Public WiFi,15-Oct,부산광역시 해운대구 좌동순환로 65,부산광역시 해운대구 좌동 1341-3,부산광역시,051-888-4604,35.1722617,129.1666317,2018-08-24
좌2동주민센터,민원실,부산광역시,해운대구,관공서,KT,Public WiFi,15-Oct,부산광역시 해운대구 좌동순환로302,부산광역시 해운대구 좌동 1327-2,부산광역시,051-888-4604,35.1691557,129.1826244,2018-08-24
재송2동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 재반로125번길 26,부산광역시 해운대구 재송동 1046,부산광역시,051-888-4604,35.1896039,129.1253134,2018-08-24
재송1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 재반로63번길 23 (재송동),부산광역시 해운대구 재송1동 274-2번지,부산광역시,051-888-4604,35.1846153,129.1251852,2018-08-24
재반보건지소,민원실,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 해운대로61번길 28 (재송동),부산광역시 해운대구 재송동 179-41번지,부산광역시,051-888-4604,35.1924165,129.1228472,2018-08-24
장산노인복지관,복지관,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,13-Oct,부산광역시 해운대구 좌동로 126,부산광역시 해운대구 좌동 1305-1,부산광역시,051-888-4604,35.173874,129.178664,2018-08-24
인덕원,인덕원,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,14-Oct,부산광역시 해운대구 반송로877번길 122 (반송동),부산광역시 해운대구 반송2동 424-5,부산광역시,051-888-4604,35.235168,129.149861,2018-08-24
우일시장,시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 우동1로20번길 56,부산광역시 해운대구 우동 552-2,부산광역시,051-888-4604,35.1649926,129.1599029,2018-08-24
우동종합상가시장,시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로383번길 21,부산광역시 해운대구 우동 1092-16,부산광역시,051-888-4604,35.1703643,129.1389344,2018-08-24
우2동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로 383번가길 7,부산광역시 해운대구 우동 1185-120,부산광역시,051-888-4604,35.1712048,129.1399222,2018-08-24
우1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로 612,부산광역시 해운대구 우동 539-4,부산광역시,051-888-4604,35.1628875,129.1580827,2018-08-24
영진종합사회복지관,복지관,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,12-Oct,부산광역시 해운대구 반여로 165,부산광역시 해운대구 반여1동 1247,부산광역시,051-888-4604,35.205783,129.126315,2018-08-24
영광재활원,재활원,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 삼의로 91번지,부산광역시 해운대구 반여1동 1062-1,부산광역시,051-888-4604,35.205771,129.1179387,2018-08-24
어진샘노인종합복지관,복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 재반로 12번길 16,부산광역시 해운대구 재송1동 100-9,부산광역시,051-888-4604,35.1799103,129.1278193,2018-08-24
시립미술관역,역사,부산광역시,해운대구,교통시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 우2동 1090-2,부산광역시 해운대구 우2동 1090-2,부산광역시,051-888-4604,35.1689035,129.1385252,2018-08-24
부산지방검찰청 동부지청 민원실,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,12-Oct,부산광역시 해운대구 재반로112번길 19,부산광역시 해운대구 재송2동 1133,부산광역시,051-888-4604,35.1892224,129.1292197,2018-08-24
부산시립해운대도서관,도서관,부산광역시,해운대구,지역문화시설,KT,Public WiFi,12-Oct,부산광역시 해운대구 우동1로 89,부산광역시 해운대구 우1동 379,부산광역시,051-888-4604,35.168802,129.155751,2018-08-24
부산시립미술관,지하1층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,12-Oct,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4604,35.1660415,129.1369819,2018-08-24
부산시립미술관,3층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,12-Oct,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4604,35.1660415,129.1369819,2018-08-24
부산시립미술관,2층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,12-Oct,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4604,35.1660415,129.1369819,2018-08-24
부산시립미술관,1층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,12-Oct,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4604,35.1660415,129.1369819,2018-08-24
부산동부지원,민원실,부산광역시,해운대구,관공서,KT,Public WiFi,13-Oct,부산광역시 해운대구 재반로112번길 19,부산광역시 해운대구 재송동 1133,부산광역시,051-888-4604,35.1892224,129.1292197,2018-08-24
반여시장,시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 해운대로61번길 95-47,부산광역시 해운대구 반여동 1291-918,부산광역시,051-888-4604,35.195617,129.1287678,2018-08-24
반여복지관,복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 재반로226번길 13-73,부산광역시 해운대구 반여2동 1291-1360,부산광역시,051-888-4604,35.1982412,129.1318837,2018-08-24
반여도서관,도서관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,15-Oct,부산광역시 해운대구 재반로 282번길 38,부산광역시 해운대구 반여동 1575-78,부산광역시,051-888-4604,35.2018799,129.1337839,2018-08-24
반여도서관,도서관,부산광역시,해운대구,지역문화시설,KT,Public WiFi,15-Oct,부산광역시 해운대구 재반로282번길 38,부산광역시 해운대구 반여동 1575-78,부산광역시,051-888-4604,35.2018799,129.1337839,2018-08-24
반여농산물 도매시장,시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 수영강변대로 626,부산광역시 해운대구 반여동 559,부산광역시,051-888-4604,35.2148598,129.1225336,2018-08-24
반여4동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 삼어로133번길 50 (반여동),부산광역시 해운대구 반여동 1122번지,부산광역시,051-888-4604,35.2091987,129.1172135,2018-08-24
반여3동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 재반로256번길 29-70 (반여동),부산광역시 해운대구 반여동 1591-4번지,부산광역시,051-888-4604,35.2009859,129.1335166,2018-08-24
반여3동 골목시장,시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 재반로256번길 8,부산광역시 해운대구 반여3동 1607-2,부산광역시,051-888-4604,35.199931,129.132061,2018-08-24
반여2동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 재반로211번길 9 (반여동),부산광역시 해운대구 반여동 1291-836번지,부산광역시,051-888-4604,35.1959634,129.1301538,2018-08-24
반여2동 상가시장,시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 해운대로61번길 95-47,부산광역시 해운대구 반여2동 1291-918번지,부산광역시,051-888-4604,35.1956196,129.1286673,2018-08-24
반여1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 선수촌로 85 (반여동),부산광역시 해운대구 반여1동 1441-34번지,부산광역시,051-888-4604,35.2012552,129.1189954,2018-08-24
반송복지관(해운대),복지관,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,13-Oct,부산광역시 해운대구 아랫반송로1번길 15,부산광역시 해운대구 반송1동 697-2,부산광역시,051-888-4604,35.2263444,129.1468777,2018-08-24
반송보건지소,민원실,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 반송로 853 (반송동),부산광역시 해운대구 반송동 683-48번지,부산광역시,051-888-4604,35.2298342,129.1475114,2018-08-24
반송골목시장,시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 해운대구 아랫반송로39번길 18-12,부산광역시 해운대구 반송동 250-410,부산광역시,051-888-4604,35.224018,129.150362,2018-08-24
반송3동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 반송순환로 158 (반송동),부산광역시 해운대구 반송동 259-113번지,부산광역시,051-888-4604,35.2245734,129.1522136,2018-08-24
반송2동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 신반송로 173 (반송동),부산광역시 해운대구 반송동 890번지,부산광역시,051-888-4604,35.2287988,129.1603701,2018-08-24
반송2동 시장,시장,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,13-Oct,부산광역시 해운대구 윗반송로51번길 86,부산광역시 해운대구 반송2동 40-762,부산광역시,051-888-4604,35.2311218,129.1562102,2018-08-24
반송1동주민센터,민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,14-Oct,부산광역시 해운대구 아랫반송로 16 (반송동),부산광역시 해운대구 반송동 717-5번지,부산광역시,051-888-4604,35.2251983,129.1478078,2018-08-24
로뎀요양병원,병원,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,14-Oct,부산광역시 해운대구 아랫반송로1번길 27-3,부산광역시 해운대구 반송1동 696-1,부산광역시,051-888-4604,35.2267783,129.1469633,2018-08-24
대한적십자 해운대점,민원실,부산광역시,해운대구,관공서,KT,Public WiFi,12-Oct,부산광역시 해운대구 구남로29번길 38,부산광역시 해운대구 중1동 1394-385,부산광역시,051-888-4604,35.1625885,129.1623498,2018-08-24
해운대해수욕장,송림공원앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 우동 706,부산광역시 해운대구 우동 706,부산광역시,051-888-4604,35.157112,129.155395,2018-08-24
해운대해수욕장,포장마차촌앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 우동 699-8,부산광역시 해운대구 우동 699-8,부산광역시,051-888-4604,35.158309,129.157057,2018-08-24
해운대해수욕장,노보텔앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 중동 1411-14,부산광역시 해운대구 중동 1411-14,부산광역시,051-888-4604,35.160846,129.163499,2018-08-24
해운대해수욕장,동백섬등대광장,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,18-Oct,부산광역시 해운대구 우동 710-1,부산광역시 해운대구 우동 710-1,부산광역시,051-888-4604,35.152417,129.152543,2018-08-24
해운대해수욕장,해운대시장입구(구청쪽),부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 중동1로 33-1,부산광역시 해운대구 중동 1378-7,부산광역시,051-888-4604,35.162449,129.163234,2018-08-24
해운대해수욕장,대림맨션앞도로변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 302,부산광역시 해운대구 중동 1405-10,부산광역시,051-888-4604,35.159546,129.168097,2018-08-24
해운대해수욕장,노보텔앞삼거리신호등,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 중동 1439-32,부산광역시 해운대구 중동 1439-32,부산광역시,051-888-4604,35.158019,129.152419,2018-08-24
해운대해수욕장,동백사거리신호등,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 우동 1151-14,부산광역시 해운대구 우동 1151-14,부산광역시,051-888-4604,35.158573,129.154577,2018-08-24
해운대해수욕장,오션스카이앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 203,부산광역시 해운대구 우동 760-3,부산광역시,051-888-4604,35.158386,129.157304,2018-08-24
해운대해수욕장,포장마차촌,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 236,부산광역시 해운대구 우동 622-4,부산광역시,051-888-4604,35.159985,129.161167,2018-08-24
해운대해수욕장,글로리콘도앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 243,부산광역시 해운대구 우동 628-5,부산광역시,051-888-4604,35.159354,129.160371,2018-08-24
해운대해수욕장,삼거리길건너편,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 277,부산광역시 해운대구 중동 1412-1,부산광역시,051-888-4604,35.159544,129.157988,2018-08-24
해운대해수욕장,해운대우체국주변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로265번길 6,부산광역시 해운대구 중동 1391-72,부산광역시,051-888-4604,35.159959,129.162114,2018-08-24
해운대해수욕장,관광사업소앞도로변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,부산광역시,051-888-4604,35.159959,129.162114,2018-08-24
해운대해수욕장,공영주차장앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 우동 622-31,부산광역시 해운대구 우동 622-31,부산광역시,051-888-4604,35.158638,129.158378,2018-08-24
해운대해수욕장,관광사업소앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,부산광역시,051-888-4604,35.159039,129.160315,2018-08-24
해운대해수욕장,엘시티앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 중동 1039-9,부산광역시 해운대구 중동 1039-9,부산광역시,051-888-4604,35.159668,129.166629,2018-08-24
해운대해수욕장,팔레드시즈앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 중동 1055-5,부산광역시 해운대구 중동 1055-5,부산광역시,051-888-4604,35.159626,129.164829,2018-08-24
해운대해수욕장,파라다이스호텔앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 중동 1408-17,부산광역시 해운대구 중동 1408-17,부산광역시,051-888-4604,35.159544,129.163032,2018-08-24
해운대해수욕장,뉴비치호텔앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,18-Jul,부산광역시 해운대구 해운대해변로 277,부산광역시 해운대구 중동 1412-1,부산광역시,051-888-4604,35.161028,129.163979,2018-08-24
해운대해수욕장,농협 맞은 편,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 구남로 23,부산광역시 해운대구 중동 1383-9,부산광역시,051-888-4604,35.159959,129.162114,2018-08-24
해운대해수욕장,다비치안경점 앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,07-Oct,부산광역시 해운대구 구남로 29,부산광역시 해운대구 중동 1393-5,부산광역시,051-888-4604,35.159959,129.162114,2018-08-24
시립미술관,시립미술관,부산광역시,해운대구,지역문화시설,부산광역시,Dynamic Busan,09-Mar,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4604,35.165074,129.134747,2018-08-24
송정해수욕장,송정해수욕장입구굴다리앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,16-Oct,부산광역시 해운대구 송정동 913-4,부산광역시 해운대구 송정동 913-4,부산광역시,051-888-4604,35.176043,129.197121,2018-08-24
송정해수욕장,죽도공원앞화장실,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,09-Mar,부산광역시 해운대구 송정동 288-60,부산광역시 해운대구 송정동 288-60,부산광역시,051-888-4604,35.179815,129.205194,2018-08-24
송정해수욕장,임해봉사실,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,09-Mar,부산광역시 해운대구 송정해변로 62,부산광역시 해운대구 송정동 712-1,부산광역시,051-888-4604,35.179475,129.199578,2018-08-24
부산쇼핑관광센터,센터,부산광역시,중구,관광,SKT,Public WiFi,16-Oct,부산광역시 중구 용두산길 37-55,부산광역시 중구 광복동 2가 1-2,부산광역시,051-888-4604,35.099516,129.031165,2018-08-24
중앙동주민센터,민원실,부산광역시,중구,관공서,SKT,Public WiFi,14-Oct,부산광역시 중구 중앙대로 41번길 10,부산광역시 중구 중앙동2가 19,부산광역시,051-888-4604,35.1013114,129.0353388,2018-08-24
부평동주민센터,민원실,부산광역시,중구,관공서,SKT,Public WiFi,14-Oct,부산광역시 중구 중구로29번길 23,부산광역시 중구 부평동1가 30-27,부산광역시,051-888-4604,35.1003759,129.026537,2018-08-24
부산항만공사,민원실,부산광역시,중구,관공서,SKT,Public WiFi,12-Oct,부산광역시 중구 충장대로9번길 46,부산광역시 중구 중앙동4가 79-9,부산광역시,051-888-4604,35.1091879,129.0387043,2018-08-24
부산우체국,민원실,부산광역시,중구,관공서,KT,Public WiFi,13-Oct,부산광역시 중구 중앙대로 63,부산광역시 중구 중앙동3가 1,부산광역시,051-888-4604,35.1034095,129.0359149,2018-08-24
부산시설공단,민원실,부산광역시,중구,관공서,LGU+,Public WiFi,15-Oct,부산광역시 중구 중앙대로 2,부산광역시 중구 중앙동1가 26번지,부산광역시,051-888-4604,35.1002481,129.0359485,2018-08-24
부산근대역사관,역사관,부산광역시,중구,지역문화시설,KT,Public WiFi,15-Oct,부산광역시 중구 대청로104,부산광역시 중구 대청동2가 24-2,부산광역시,051-888-4604,35.1026408,129.0312665,2018-08-24
보수종합시장,시장,부산광역시,중구,서민·복지시설,SKT,Public WiFi,14-Oct,부산광역시 중구 보수대로 94,부산광역시 중구 보수동3가 46-1,부산광역시,051-888-4604,35.1042486,129.0218218,2018-08-24
보수새마을,보수새마을,부산광역시,중구,서민·복지시설,LGU+,Public WiFi,15-Oct,부산광역시 중구 망양로319번길 26(보수동1가),부산광역시 중구 보수동1가 산 3-148,부산광역시,051-888-4604,35.1076372,129.0267276,2018-08-24
보수동 주민센터,민원실,부산광역시,중구,관공서,LGU+,Public WiFi,14-Oct,부산광역시 중구 보수대로140번길61,부산광역시 중구 보수동1가 48-2,부산광역시,051-888-4604,35.106034,129.024948,2018-08-24
동광동주민센터,민원실,부산광역시,중구,관공서,SKT,Public WiFi,14-Oct,부산광역시 중구 동광길 49,부산광역시 중구 동광동5가 44-3,부산광역시,051-888-4604,35.1050215,129.0345762,2018-08-24
대청동 주민센터,민원실,부산광역시,중구,관공서,LGU+,Public WiFi,14-Oct,부산광역시 중구 대청로99번길 14-1,부산광역시 중구 대청동2가 2,부산광역시,051-888-4604,35.1042614,129.0309856,2018-08-24
대청(중앙)공원,공원,부산광역시,중구,관광,SKT,Public WiFi,12-Oct,부산광역시 중구 영주동 10-16,부산광역시 중구 영주동 10-16,부산광역시,051-888-4604,35.109949,129.028003,2018-08-24
남포동주민센터,민원실,부산광역시,중구,관공서,SKT,Public WiFi,14-Oct,부산광역시 중구 자갈치로 68-1,부산광역시 중구 남포동4가 32-2,부산광역시,051-888-4604,35.0973837,129.0316814,2018-08-24
남포 헌혈의집,헌혈의집,부산광역시,중구,기타,SKT,Public WiFi,13-Oct,부산광역시 중구 구덕로 50-1,부산광역시 중구 남포동5가 3-7,부산광역시,051-888-4604,35.0985173,129.0302287,2018-08-24
국제시장,"1~6공구(A,B동)",부산광역시,중구,서민·복지시설,KT,Public WiFi,14-Oct,부산광역시 중구 국제시장2길 29,부산광역시 중구 신창동4가 40-1,부산광역시,051-888-4604,35.101124,129.0281055,2018-08-24
